#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,4) - 16bit klic:
#SR(2,2,2,4)
2 2451.2 19.17 1.75 0.44 0 0 1.75 0.44 0 0 3.15 0.37 3.15 0.37 4.9 0.64 68.4 25.42
4 2459.45 14.91 2 0.0 0 0 2 0.0 0 0 5.05 0.39 5.05 0.39 7.05 0.39 33 0.0
8 2460.45 10.84 2 0.0 0 0 2 0.0 0 0 9.95 0.69 9.95 0.69 11.95 0.69 33 0.0
12 2456.55 8.82 3 0.0 0 0 3 0.0 0 0 15.5 0.83 15.5 0.83 18.5 0.83 33 0.0
16 2456.75 9.33 3 0.0 0 0 3 0.0 0 0 20.4 1.6 20.4 1.6 23.4 1.6 33 0.0
32 2458.25 5.32 7 0.0 0 0 7 0.0 0 0 41.75 3.16 41.75 3.16 48.75 3.16 67 0.0
48 2458.25 4.82 9 0.0 0 0 9 0.0 0 0 62.85 2.89 62.85 2.89 71.85 2.89 67 0.0
64 2458.35 3.66 12 0.0 0 0 12 0.0 0 0 83.2 3.41 83.2 3.41 95.2 3.41 100 0.0
96 2458.95 3.14 17.9 0.31 0 0 17.9 0.31 0 0 128.45 10.37 128.45 10.37 146.35 10.38 134 0.0
128 2458.9 3.29 24.3 0.47 0 0 24.3 0.47 0 0 164.85 6.31 164.85 6.31 189.15 6.41 168 0.0
256 2458.3 3.42 48.55 0.51 0 0 48.55 0.51 0 0 333.5 5.35 333.5 5.35 382.05 5.26 335 0.0
384 2458.5 1.91 73.85 0.67 0 0 73.85 0.67 0 0 507.7 6.71 507.7 6.71 581.55 6.55 470 0.0
512 2457.95 2.8 100.1 0.55 0 0 100.1 0.55 0 0 679.45 6.09 679.45 6.09 779.55 6.0 609.1 12.46
