#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,4,2,4) - 32bit klic:
#SR(1,4,2,4)
8 22.6 1.17 2 0.0 1.17 0 3.17 0.24 0 0 0 0.0 0 0.0 3.17 0.24 33 0.0
12 17 0.94 3 0.0 4.1 0 7.1 0.45 0 0 0 0.0 0 0.0 7.1 0.45 33 0.0
16 13.2 1.32 3 0.0 8.6 0 11.6 0.62 0 0 0 0.0 0 0.0 11.6 0.62 33 0.0
32 8.2 0.42 6.9 0.32 42.17 0 49.07 3.62 0 0 0 0.0 0 0.0 49.07 3.62 33 0.0
48 6.5 0.53 9 0.0 105.9 0 114.9 10.89 0 0 0 0.0 0 0.0 114.9 10.89 33 0.0
64 5.9 0.32 12 0.0 204.17 0 216.17 10.68 0 0 0 0.0 0 0.0 216.17 10.68 33 0.0
96 5.1 0.32 18 0.0 485.0 0 503.0 59.46 0 0 0 0.0 0 0.0 503.0 59.46 33 0.0
128 4.2 0.42 25 0.0 868.8 0 893.8 74.74 0 0 0 0.0 0 0.0 893.8 74.74 33 0.0
256 3 0.0 49.2 0.42 4132.87 0 4182.07 477.53 0 0 0 0.0 0 0.0 4182.07 477.53 33 0.0
