#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,4) - 16bit klic:
#SR(2,2,2,4)
8 682.7 66.48 2 0.0 1 0 3 0.0 0.1 0 0 0.0 0.1 0.32 3.1 0.32 56.6 45.09
12 554.4 29.93 3 0.0 1 0 4 0.0 0 0 0 0.0 0 0.0 4 0.0 46.5 32.55
16 521.2 29.1 3 0.0 2 0 5 0.0 0 0 0 0.0 0 0.0 5 0.0 53.3 32.57
32 398.9 49.97 6.2 0.42 5.2 0 11.4 0.7 0.3 0 0 0.0 0.3 0.48 11.7 0.82 137.2 260.95
48 301.8 41.85 8 0.0 9.4 0 17.4 0.7 0 0 0 0.0 0 0.0 17.4 0.7 36.4 10.75
64 239.4 39.96 12 0.0 14.1 0 26.1 0.57 0 0 0 0.0 0 0.0 26.1 0.57 33 0.0
96 118.1 1.79 17.1 0.32 26.9 0 44 1.7 0 0 1 0.0 1 0.0 45 1.7 33 0.0
128 114.5 2.22 23.1 0.32 43 0 66.1 2.88 0 0 1.1 0.32 1.1 0.32 67.2 2.82 33 0.0
