#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,4,2,4) - 32bit klic:
#SR(1,4,2,4)
8 12 0.82 2 0.0 0 0 2 0.0 0 0 0 0.0 0 0.0 2 0.0 33 0.0
12 9.9 0.74 3 0.0 0 0 3 0.0 0 0 0 0.0 0 0.0 3 0.0 33 0.0
16 8.9 0.74 3 0.0 0 0 3 0.0 0 0 0 0.0 0 0.0 3 0.0 33 0.0
32 6.7 0.48 6.6 0.52 0 0 6.6 0.52 0 0 0 0.0 0 0.0 6.6 0.52 33 0.0
48 5.4 0.52 9 0.0 0 0 9 0.0 0.1 0 0 0.0 0.1 0.32 9.1 0.32 36.4 10.75
64 4.9 0.32 12 0.0 0.1 0 12.1 0.32 0.1 0 0 0.0 0.1 0.32 12.2 0.42 36.4 10.75
96 4.1 0.32 17.6 0.52 1.5 0 19.1 0.74 0 0 0 0.0 0 0.0 19.1 0.74 33 0.0
128 3.4 0.52 24.5 0.53 2.9 0 27.4 0.52 1.9 0 0 0.0 1.9 3.0 29.3 2.91 111.1 120.73
256 2.6 0.52 48.7 0.48 11.8 0 60.5 1.08 1.5 0 0.2 0.42 1.7 2.45 62.2 2.7 92.1 92.76
384 2 0.0 72.9 0.32 27.6 0 100.5 3.44 11.1 0 9.5 9.31 20.6 15.22 121.1 17.27 462.1 346.49
512 2 0.0 98.3 0.48 54 0 152.3 5.08 15.6 0 10.4 12.32 26 34.94 178.3 36.04 651.8 1007.86
