#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,4,2,4) - 32bit klic:
#SR(1,4,2,4)
2 24.05 2.21 1.05 0.22 0 0.0 1.05 0.22 0.05 0.22 2.2 6.14 2.25 6.32 3.3 6.3 34.7 7.6
4 16.35 2.03 2 0.0 0.05 0.22 2.05 0.22 0 0.0 7.5 33.54 7.5 33.54 9.55 33.53 33 0.0
8 10.8 1.28 2 0.0 2.15 0.67 4.15 0.67 0 0.0 3.35 12.24 3.35 12.24 7.5 12.45 33 0.0
12 8.75 0.97 3 0.0 5.1 0.72 8.1 0.72 0 0.0 7.4 12.02 7.4 12.02 15.5 12.22 33 0.0
16 7.8 0.95 3 0.0 10.2 2.14 13.2 2.14 0.05 0.22 14.2 24.5 14.25 24.56 27.45 24.13 34.7 7.6
32 5.75 0.72 6.9 0.31 39.45 8.04 46.35 8.05 0 0.0 115.4 486.7 115.4 486.7 161.75 486.23 33 0.0
48 4.65 0.59 9 0.0 91.7 25.28 100.7 25.28 0 0.0 70.9 126.58 70.9 126.58 171.6 129.31 33 0.0
64 4.25 0.55 12 0.0 180.85 45.46 192.85 45.46 0 0.0 401 1277.87 401 1277.87 593.85 1270.0 33 0.0
96 3.4 0.5 17.8 0.41 405.6 77.57 423.4 77.41 0 0.0 292.05 755.95 292.05 755.95 715.45 772.66 33 0.0
128 3 0.0 24.3 0.47 707.6 114.08 731.9 114.09 0 0.0 922 2250.01 922 2250.01 1653.9 2222.32 33 0.0
256 2 0.0 48.9 0.45 2954.15 690.38 3003.05 690.36 0 0.0 1142.9 2384.03 1142.9 2384.03 4145.95 2209.94 33 0.0
384 2 0.0 73 0.32 6511.8 1392.69 6584.8 1392.79 0 0.0 964.6 1354.75 964.6 1354.75 7549.4 2098.0 33 0.0
512 2 0.0 98.67 0.58 9190 1536.58 9288.67 1536.32 0 0.0 2387.33 1644.27 2387.33 1644.27 11676 761.1 33 0.0
