#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,4) - 16bit klic:
#SR(1,2,2,4)
2 13.05 2.11 0.4 0.5 0 0.0 0.4 0.5 0 0.0 0 0.0 0 0.0 0.4 0.5 33 0.0
4 7.35 1.63 1 0.0 0 0.0 1 0.0 0 0.0 0.05 0.22 0.05 0.22 1.05 0.22 33 0.0
8 4.45 1.0 1 0.0 0 0.0 1 0.0 0 0.0 0.05 0.22 0.05 0.22 1.05 0.22 33 0.0
12 3.05 0.51 1 0.0 0.1 0.31 1.1 0.31 0 0.0 0.15 0.37 0.15 0.37 1.25 0.44 33 0.0
16 2.8 0.41 1 0.0 0.25 0.44 1.25 0.44 0 0.0 0.05 0.22 0.05 0.22 1.3 0.47 33 0.0
32 2 0.0 3 0.0 3.55 0.69 6.55 0.69 0 0.0 0.5 0.95 0.5 0.95 7.05 1.32 33 0.0
48 2 0.0 4 0.0 8.5 1.82 12.5 1.82 0 0.0 0.65 0.67 0.65 0.67 13.15 2.13 33 0.0
64 1.95 0.22 5.75 0.44 16 3.31 21.75 3.37 0 0.0 0.75 1.02 0.75 1.02 22.5 3.47 33 0.0
96 1.9 0.31 8 0.0 33.5 6.47 41.5 6.47 0 0.0 1.05 1.36 1.05 1.36 42.55 6.84 33 0.0
128 2 0.0 12 0.0 54.85 7.77 66.85 7.77 0 0.0 1.1 1.97 1.1 1.97 67.95 7.69 33 0.0
256 1.9 0.31 23.05 0.22 255.55 58.24 278.6 58.28 0 0.0 1.4 1.1 1.4 1.1 280 58.47 33 0.0
384 1.9 0.31 34.55 0.51 578.85 155.0 613.4 154.97 0 0.0 2 1.03 2 1.03 615.4 154.69 33 0.0
512 1.95 0.22 46.85 0.37 953.35 245.69 1000.2 245.73 0 0.0 2.2 1.01 2.2 1.01 1002.4 245.46 33 0.0
1024 1.85 0.37 95.4 0.6 3887.05 713.4 3982.45 713.6 0 0.0 3.65 0.93 3.65 0.93 3986.1 713.47 33 0.0
