#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,4,2,4) - 32bit klic:
#SR(1,4,2,4)
8 14.1 0.74 2 0.0 0 0 2 0.0 0 0 0 0.0 0 0.0 2 0.0 33 0.0
12 11.2 0.79 3 0.0 0 0 3 0.0 0 0 0 0.0 0 0.0 3 0.0 33 0.0
16 10.3 0.67 3 0.0 0 0 3 0.0 0 0 0 0.0 0 0.0 3 0.0 33 0.0
32 7.7 0.48 6.6 0.52 0 0 6.6 0.52 0 0 0 0.0 0 0.0 6.6 0.52 33 0.0
48 6.2 0.42 9 0.0 0 0 9 0.0 0 0 0 0.0 0 0.0 9 0.0 36.4 10.75
64 5.9 0.32 12 0.0 0.1 0 12.1 0.32 0 0 0 0.0 0 0.0 12.1 0.32 36.4 10.75
96 5 0.0 17.6 0.52 1.5 0 19.1 0.74 0 0 0 0.0 0 0.0 19.1 0.74 33 0.0
128 4 0.0 24.5 0.53 2.9 0 27.4 0.52 0 0 0 0.0 0 0.0 27.4 0.52 111.1 120.73
256 3 0.0 48.7 0.48 11.8 0 60.5 1.08 0 0 0 0.0 0 0.0 60.5 1.08 92.1 92.76
384 2.3 0.48 72.9 0.32 27.6 0 100.5 3.44 0.5 0 1 0.0 1.5 0.71 102 3.83 462.1 346.49
512 2 0.0 98.3 0.48 54 0 152.3 5.08 0.3 0 2 0.82 2.3 1.34 154.6 5.02 651.8 1007.86
