#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,4) - 16bit klic:
#SR(2,2,2,4)
8 560.6 54.7 2 0.0 1 0 3 0.0 0 0 0 0.0 0 0.0 3 0.0 56.6 45.09
12 483.9 34.08 3 0.0 1 0 4 0.0 0 0 0 0.0 0 0.0 4 0.0 46.5 32.55
16 473.7 31.75 3 0.0 2 0 5 0.0 0 0 0 0.0 0 0.0 5 0.0 53.3 32.57
32 339.8 80.26 6.2 0.42 5.2 0 11.4 0.7 0 0 0 0.0 0 0.0 11.4 0.7 133.8 262.19
48 203.6 55.31 8 0.0 9.4 0 17.4 0.7 0 0 0.2 0.42 0.2 0.42 17.6 0.84 33 0.0
64 141.2 42.93 12 0.0 14.1 0 26.1 0.57 0 0 0.8 0.42 0.8 0.42 26.9 0.74 33 0.0
96 112.1 1.91 17.1 0.32 26.9 0 44 1.7 0 0 1 0.0 1 0.0 45 1.7 33 0.0
128 109.3 2.54 23.1 0.32 43 0 66.1 2.88 0 0 1.1 0.32 1.1 0.32 67.2 2.82 33 0.0
