#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,4,2,4) - 32bit klic:
#SR(1,4,2,4)
8 9.2 1.32 2 0.0 0 0 2 0.0 0 0 8.9 15.39 8.9 15.39 10.9 15.39 33 0.0
12 7.5 0.85 2.9 0.32 0 0 2.9 0.32 0 0 23 43.9 23 43.9 25.9 43.95 33 0.0
16 6.9 1.1 3 0.0 0 0 3 0.0 0 0 193.8 358.27 193.8 358.27 196.8 358.27 33 0.0
32 5 0.67 6 0.0 0 0 6 0.0 0 0 412.2 848.21 412.2 848.21 418.2 848.21 33 0.0
48 3.67 0.71 9 0.0 0 0 9 0.0 0 0 1694.89 2086.61 1694.89 2086.61 1703.89 2086.61 33 0.0
64 3.89 0.33 12 0.0 0.22 0 12.22 0.44 0 0 601.22 1071.91 601.22 1071.91 613.44 1071.81 33 0.0
96 3.12 0.35 17 0.0 1.5 0 18.5 0.53 0 0 1155.88 1509.81 1155.88 1509.81 1174.38 1509.53 33 0.0
128 2.67 0.52 24.17 0.75 2.67 0 26.83 0.75 0 0 8323.83 4306.87 8323.83 4306.87 8350.67 4306.94 33 0.0
