#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,4,2,4) - 32bit klic:
#SR(1,4,2,4)
8 10.7 1.06 2 0.0 0 0 2 0.0 0 0 0 0.0 0 0.0 2 0.0 33 0.0
12 8.7 0.82 3 0.0 0 0 3 0.0 0 0 0 0.0 0 0.0 3 0.0 33 0.0
16 7.8 0.79 3 0.0 0 0 3 0.0 0 0 0 0.0 0 0.0 3 0.0 33 0.0
32 6 0.47 6.6 0.52 0 0 6.6 0.52 0 0 0 0.0 0 0.0 6.6 0.52 33 0.0
48 4.4 0.52 9 0.0 0 0 9 0.0 0 0 5.4 11.25 5.4 11.25 14.4 11.25 33 0.0
64 4.5 0.53 12 0.0 0.1 0 12.1 0.32 0 0 4 12.65 4 12.65 16.1 12.62 33 0.0
96 3.5 0.53 17.6 0.52 1.5 0 19.1 0.74 0 0 0.6 0.7 0.6 0.7 19.7 0.82 33 0.0
128 3 0.0 24.5 0.53 2.9 0 27.4 0.52 0 0 69 100.31 69 100.31 96.4 100.19 33 0.0
256 2 0.0 48.7 0.48 11.8 0 60.5 1.08 0 0 55.3 72.08 55.3 72.08 115.8 72.12 33 0.0
384 2 0.0 72.9 0.32 27.6 0 100.5 3.44 0 0 365.6 296.82 365.6 296.82 466.1 298.12 33 0.0
512 2 0.0 98.3 0.48 54 0 152.3 5.08 0 0 541.7 885.77 541.7 885.77 694 886.58 33 0.0
