#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,4) - 16bit klic:
#SR(2,2,2,4)
8 478.6 66.12 2 0.0 1 0 3 0.0 0.4 0 0 0.0 0.4 0.97 3.4 0.97 56.6 45.09
12 424.6 52.37 3 0.0 1 0 4 0.0 0.1 0 0 0.0 0.1 0.32 4.1 0.32 46.5 32.55
16 432 43.88 3 0.0 2 0 5 0.0 0.2 0 0 0.0 0.2 0.42 5.2 0.42 53.3 32.57
32 279.3 95.46 6.2 0.42 5.2 0 11.4 0.7 1.5 0 0.1 0.32 1.6 4.06 13 4.06 133.8 262.19
48 129.1 22.84 8 0.0 9.4 0 17.4 0.7 0 0 0.8 0.42 0.8 0.42 18.2 0.92 33 0.0
64 114.5 1.18 12 0.0 14.1 0 26.1 0.57 0 0 1 0.0 1 0.0 27.1 0.57 33 0.0
96 107.1 2.47 17.1 0.32 26.9 0 44 1.7 0 0 1 0.0 1 0.0 45 1.7 33 0.0
128 104.1 3.45 23.1 0.32 43 0 66.1 2.88 0 0 1.1 0.32 1.1 0.32 67.2 2.82 33 0.0
