#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,4) - 16bit klic:
#SR(1,2,2,4)
2 21.9 0.45 0.7 0.47 0 0 0.7 0.47 0 0 0 0.0 0 0.0 0.7 0.47 33 0.0
4 21.8 0.7 1 0.0 0 0 1 0.0 0 0 0 0.0 0 0.0 1 0.0 33 0.0
8 21.65 0.67 1 0.0 0 0 1 0.0 0 0 0 0.0 0 0.0 1 0.0 33 0.0
12 21.6 0.68 1.1 0.31 0 0 1.1 0.31 0 0 0 0.0 0 0.0 1.1 0.31 33 0.0
16 21.85 0.67 1.15 0.37 0 0 1.15 0.37 0 0 0 0.0 0 0.0 1.15 0.37 33 0.0
32 21.65 0.49 3 0.0 0 0 3 0.0 0 0 0 0.0 0 0.0 3 0.0 33 0.0
48 21.8 0.52 4 0.0 0 0 4 0.0 0 0 0 0.0 0 0.0 4 0.0 33 0.0
64 21.85 0.59 6 0.0 0 0 6 0.0 0 0 0 0.0 0 0.0 6 0.0 33 0.0
96 21.95 0.6 8.55 0.51 0 0 8.55 0.51 0 0 0 0.0 0 0.0 8.55 0.51 33 0.0
128 21.9 0.72 12 0.0 0 0 12 0.0 0 0 0 0.0 0 0.0 12 0.0 33 0.0
256 21.95 0.39 23.8 0.41 0 0 23.8 0.41 0 0 0 0.0 0 0.0 23.8 0.41 33 0.0
384 22 0.56 35.75 0.72 0 0 35.75 0.72 0 0 1 0.0 1 0.0 36.75 0.72 33 0.0
512 21.75 0.72 48.05 0.22 0 0 48.05 0.22 0 0 1 0.0 1 0.0 49.05 0.22 33 0.0
