#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,4) - 16bit klic:
#SR(2,2,2,4)
2 1991.5 345.88 1.55 0.51 0.4 0.5 1.95 0.76 26.9 23.52 0 0.0 26.9 23.52 28.85 23.75 1073.9 978.34
4 1686.95 321.1 2 0.0 3.6 0.99 5.6 0.99 18.7 18.72 0 0.0 18.7 18.72 24.3 18.61 740.15 741.49
8 1467.7 209.97 2 0.0 17 3.78 19 3.78 16.15 26.12 0 0.0 16.15 26.12 35.15 25.56 848.2 1631.75
12 1533.95 271.93 3 0.0 40.79 9.64 43.79 9.64 40.84 52.18 0 0.0 40.84 52.18 84.63 55.47 2148.53 3033.66
16 1333.85 164.45 3 0.0 67.85 11.75 70.85 11.75 21.9 40.97 0 0.0 21.9 40.97 92.75 41.88 1082.8 2234.85
32 1046.37 250.71 6.21 0.42 286 61.56 292.21 61.57 4.89 13.18 0 0.0 4.89 13.18 297.11 62.0 264.79 658.8
48 1029.7 175.06 8.4 0.5 667.4 155.21 675.8 155.27 0.3 0.57 0 0.0 0.3 0.57 676.1 155.31 49.85 38.66
64 828.1 144.88 12 0.0 1183.55 246.73 1195.55 246.73 0.05 0.22 0.05 0.22 0.1 0.31 1195.65 246.68 34.7 7.6
96 745.05 144.28 17 0.0 2768 707.0 2785 707.0 0.1 0.31 0 0.0 0.1 0.31 2785.1 707.01 38.05 16.44
128 642.1 108.42 23.65 0.49 4628.85 869.82 4652.5 869.63 0 0.0 0.05 0.22 0.05 0.22 4652.55 869.65 33 0.0
