#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,4,4) - 32bit klic:
#SR(1,2,4,4)
8 13.4 0.52 2 0.0 0.67 0 2.67 0.0 0 0 0 0.0 0 0.0 2.67 0.0 33 0.0
12 8.4 0.97 2.4 0.52 2.23 0 4.63 0.71 0 0 0 0.0 0 0.0 4.63 0.71 33 0.0
16 6.1 0.32 3 0.0 4.93 0 7.93 0.26 0 0 0 0.0 0 0.0 7.93 0.26 33 0.0
32 3 0.47 6 0.0 25.67 0 31.67 2.41 0 0 0 0.0 0 0.0 31.67 2.41 33 0.0
48 2 0.0 8 0.0 59.93 0 67.93 6.03 0 0 0 0.0 0 0.0 67.93 6.03 33 0.0
64 2 0.0 11 0.0 113.53 0 124.53 5.98 0.5 0 0 0.0 0.5 1.58 125.03 6.52 52.8 62.61
96 2 0.0 17 0.0 265.73 0 282.73 39.53 0.7 0 0.1 0.32 0.8 1.48 283.53 39.59 62.3 54.14
128 2 0.0 23.8 0.42 468.87 0 492.67 41.57 0.8 0 1.2 2.3 2 4.35 494.67 40.95 64.8 89.26
