#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,4,4) - 32bit klic:
#SR(2,2,4,4)
128 3301.59 27.86 59.18 0.39 39.71 0 98.88 0.7 1405.71 0 0 0.0 1405.71 2727.86 1504.59 2727.67 21510 39039.09
96 3300.74 25.28 45.79 6.84 30.16 0 75.95 6.98 664.79 0 0.05 0.23 664.84 628.04 740.79 630.33 9971.58 9425.89
64 3298.16 33.42 29.42 0.51 19.84 0 49.26 1.28 653.37 0 0 0.0 653.37 417.25 702.63 417.53 9404.74 6645.95
48 3287.95 34.49 21.9 0.31 14.85 0 36.75 1.02 705.4 0 0 0.0 705.4 491.36 742.15 491.16 10783 11069.47
32 3302.11 32.01 15.95 0.23 9.84 0 25.79 0.79 869.37 0 0 0.0 869.37 717.45 895.16 717.18 14697.37 12938.19
16 3305.05 20.18 8.1 0.31 4.9 0 13 0.46 920.15 0 0.05 0.22 920.2 1542.29 933.2 1542.28 12994 17919.56
12 3295.83 36.42 7 0.0 3.11 0 10.11 0.32 834.39 0 0 0.0 834.39 1011.69 844.5 1011.65 13448.89 18082.24
8 3305.17 38.19 5.56 0.51 2.06 0 7.61 0.5 645.11 0 0 0.0 645.11 789.58 652.72 789.72 9500.56 11126.76

