#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,8) - 32bit klic:
#SR(1,2,2,8)
4 207.45 12.47 9 0.0 4.4 0 13.4 0.88 1.6 0 0 0.0 1.6 2.8 15 3.23 93.55 121.76
8 160.8 18.72 9 0.0 17.55 0 26.55 3.65 4.55 0 0.75 1.59 5.3 9.41 31.85 10.0 261.5 590.37
12 142.42 16.17 10 0.0 37.89 0 47.89 8.4 0.63 0 1.05 1.99 1.68 2.81 49.58 8.66 64.95 54.38
16 130.1 19.04 10.5 0.51 65.85 0 76.35 14.32 3.25 0 10.05 28.19 13.3 28.64 89.65 26.02 145.7 304.19
32 101.55 11.6 21.9 0.31 261.3 0 283.2 36.04 0 0 9.1 16.64 9.1 16.64 292.3 43.85 33 0.0
48 89.1 10.75 26.05 0.51 566 0 592.05 97.67 0 0 28.5 38.42 28.5 38.42 620.55 118.74 33 0.0
64 83.15 9.2 42.35 19.81 978 0 1020.35 195.57 0.25 0 23.1 40.41 23.35 40.27 1043.7 195.49 33 0.0
96 69.3 7.72 51.4 0.6 2027.7 0 2079.1 333.09 0 0 70.8 145.84 70.8 145.84 2149.9 288.76 33 0.0
128 65.1 6.61 71.3 0.66 3478.95 0 3550.25 579.63 0 0 61 141.43 61 141.43 3611.25 644.96 33 0.0
