#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,8) - 32bit klic:
#SR(1,2,2,8)
4 209.53 13.43 8 0.0 3.47 0 11.47 0.77 0.68 0 0 0.0 0.68 1.29 12.16 1.54 61.42 50.51
8 158.15 17.4 9.05 0.22 15.85 0 24.9 3.26 2.8 0 0.6 1.05 3.4 5.56 28.3 6.74 150.75 231.63
12 144.45 12.05 10 0.0 34 0 44 8.26 1.65 0 0.85 1.23 2.5 2.96 46.5 9.44 91.9 103.36
16 129.8 17.65 10.9 0.31 61.3 0 72.2 13.06 2.45 0 6.8 14.04 9.25 14.56 81.45 19.0 101.9 192.34
32 101.25 11.51 22 0.0 232.25 0 254.25 43.18 0 0 22.95 64.03 22.95 64.03 277.2 89.31 33 0.0
48 89.3 11.47 26.65 0.59 532.15 0 558.8 97.56 0 0 45.25 76.27 45.25 76.27 604.05 141.18 33 0.0
64 83.6 9.03 38.1 0.31 905.2 0 943.3 151.62 0 0 16.35 23.61 16.35 23.61 959.65 154.05 33 0.0
96 68.85 8.06 52.9 0.64 2197.65 0 2250.55 369.25 0 0 45.85 65.63 45.85 65.63 2296.4 368.73 33 0.0
128 66 6.15 73.05 1.36 3705.25 0 3778.3 554.22 0 0 35.9 82.49 35.9 82.49 3814.2 565.68 33 0.0
