#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,4) - 16bit klic:
#SR(1,2,2,4)
8 3.2 0.42 1 0.0 0 0 1 0.0 0 0 0.2 0.63 0.2 0.63 1.2 0.63 33 0.0
12 2.4 0.52 1 0.0 0 0 1 0.0 0 0 0.8 0.79 0.8 0.79 1.8 0.79 33 0.0
16 2.3 0.48 1 0.0 0 0 1 0.0 0 0 0.8 1.23 0.8 1.23 1.8 1.23 33 0.0
32 1.5 0.53 3 0.0 0.1 0 3.1 0.32 0 0 6.6 5.56 6.6 5.56 9.7 5.5 33 0.0
48 1 0.0 4 0.0 0 0 4 0.0 0 0 16.2 10.01 16.2 10.01 20.2 10.01 33 0.0
64 1 0.0 5.2 0.42 0 0 5.2 0.42 0 0 51 19.54 51 19.54 56.2 19.42 33 0.0
96 1 0.0 8 0.0 0 0 8 0.0 0 0 31.8 22.08 31.8 22.08 39.8 22.08 33 0.0
128 1 0.0 11.1 0.32 0 0 11.1 0.32 0 0 46.1 32.73 46.1 32.73 57.2 32.66 33 0.0
256 1 0.0 22.7 0.48 2.2 0 24.9 0.74 0 0 55.6 34.55 55.6 34.55 80.5 34.83 33 0.0
384 1 0.0 34.1 0.32 5.1 0 39.2 1.81 0 0 45.2 20.47 45.2 20.47 84.4 20.78 33 0.0
512 1 0.0 46 0.0 9.5 0 55.5 0.53 0 0 56 19.97 56 19.97 111.5 19.88 33 0.0
