#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,8) - 32bit klic:
#SR(1,2,2,8)
4 201 14.62 8 0.0 0 0 8 0.0 1.43 0 0 0.0 1.43 3.78 9.43 3.78 81 127.0
8 167.5 12.51 9 0.0 0 0 9 0.0 3 0 0 0.0 3 7.48 12 7.48 140.5 272.23
12 140.8 17.11 10 0.0 0 0 10 0.0 0.4 0 0.1 0.32 0.5 0.71 10.5 0.71 46.5 23.52
16 132.8 21.32 10.4 0.52 0 0 10.4 0.52 6.2 0 0.2 0.42 6.4 19.2 16.8 19.06 227.4 591.58
32 98 8.34 21.8 0.42 1.5 0 23.3 0.67 0 0 1.6 3.2 1.6 3.2 24.9 3.28 33 0.0
48 87.9 8.36 25.8 0.42 3.2 0 29 0.47 0 0 2.5 5.23 2.5 5.23 31.5 5.25 33 0.0
64 82.6 9.0 35.9 0.32 5.5 0 41.4 0.52 0 0 2.6 6.06 2.6 6.06 44 6.0 33 0.0
96 69.9 8.28 51.9 0.57 11.7 0 63.6 0.84 0 0 27.4 84.19 27.4 84.19 91 84.33 33 0.0
128 66 6.8 72.2 0.42 19.7 0 91.9 1.45 0 0 28.7 88.31 28.7 88.31 120.6 88.71 33 0.0
