#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,4) - 16bit klic:
#SR(1,2,2,4)
8 5.2 0.42 1 0.0 0 0 1 0.0 0 0 0 0.0 0 0.0 1 0.0 33 0.0
12 3.4 0.52 1 0.0 0 0 1 0.0 0 0 0 0.0 0 0.0 1 0.0 33 0.0
16 3 0.0 1 0.0 0 0 1 0.0 0 0 0 0.0 0 0.0 1 0.0 33 0.0
32 2 0.0 3 0.0 0 0 3 0.0 0 0 0.1 0.32 0.1 0.32 3.1 0.32 33 0.0
48 2 0.0 4 0.0 0 0 4 0.0 0 0 0 0.0 0 0.0 4 0.0 33 0.0
64 1.7 0.48 5.7 0.48 0 0 5.7 0.48 0 0 0 0.0 0 0.0 5.7 0.48 43.2 16.42
96 1.4 0.52 8 0.0 0 0 8 0.0 0 0 7.7 10.46 7.7 10.46 15.7 10.46 44.2 18.24
128 1.1 0.32 11.8 0.42 0 0 11.8 0.42 0.1 0 35.1 26.14 35.2 26.42 47 26.45 63.2 28.71
256 1 0.0 23 0.0 2.2 0 25.2 0.42 0.3 0 51.2 33.16 51.5 33.61 76.7 33.6 74.6 39.95
384 1 0.0 34.2 0.42 4.6 0 38.8 1.03 0.2 0 43.1 18.25 43.3 18.6 82.1 18.34 69.6 27.21
512 1 0.0 46.8 0.42 9.1 0 55.9 1.2 0.3 0 56 22.38 56.3 22.81 112.2 22.19 79.4 30.06
