#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,4) - 16bit klic:
#SR(1,2,2,4)
2 20.2 0.41 0.7 0.47 0 0 0.7 0.47 0 0 0 0.0 0 0.0 0.7 0.47 33 0.0
4 20.15 0.37 1 0.0 0 0 1 0.0 0 0 0 0.0 0 0.0 1 0.0 33 0.0
8 20 0.0 1 0.0 0 0 1 0.0 0 0 0 0.0 0 0.0 1 0.0 33 0.0
12 20.2 0.41 1 0.0 0 0 1 0.0 0 0 1 0.0 1 0.0 2 0.0 33 0.0
16 20 0.0 1.1 0.31 0 0 1.1 0.31 0 0 1 0.0 1 0.0 2.1 0.31 33 0.0
32 20 0.0 3 0.0 0 0 3 0.0 0 0 2.05 0.22 2.05 0.22 5.05 0.22 33 0.0
48 20 0.0 4 0.0 0 0 4 0.0 0 0 3.8 0.41 3.8 0.41 7.8 0.41 33 0.0
64 20 0.0 6 0.0 0 0 6 0.0 0 0 5 0.0 5 0.0 11 0.0 33 0.0
96 20 0.0 8.25 0.44 0 0 8.25 0.44 0 0 8 0.0 8 0.0 16.25 0.44 33 0.0
128 20 0.0 12.85 0.37 0 0 12.85 0.37 0 0 10.9 0.31 10.9 0.31 23.75 0.44 33 0.0
256 20 0.0 23.45 0.51 0 0 23.45 0.51 0 0 23.2 0.83 23.2 0.83 46.65 0.99 33 0.0
384 20 0.0 35.6 0.5 0 0 35.6 0.5 0 0 36.6 1.54 36.6 1.54 72.2 1.74 33 0.0
512 20 0.0 48.8 0.41 0 0 48.8 0.41 0 0 50.65 2.32 50.65 2.32 99.45 2.52 33 0.0
1024 20 0.0 100.1 0.55 0 0 100.1 0.55 0 0 124.25 4.77 124.25 4.77 224.35 4.94 33 0.0
