#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,4) - 16bit klic:
#SR(2,2,2,4)
2 2198.05 43.22 1.85 0.37 0 0 1.85 0.37 53.65 0 0 0.0 53.65 7.48 55.5 7.47 2067.5 606.76
4 771.61 12.51 2 0.0 0 0 2 0.0 6.06 0 0 0.0 6.06 3.51 8.06 3.51 376.44 199.39
8 772.35 11.41 2 0.0 0 0 2 0.0 7.6 0 0 0.0 7.6 6.16 9.6 6.16 419.45 243.34
12 773.74 12.18 3 0.0 0 0 3 0.0 8.11 0 0 0.0 8.11 4.31 11.11 4.31 475.11 206.27
16 767.25 17.59 3 0.0 0.35 0 3.35 0.49 8.85 0 0 0.0 8.85 8.0 12.2 8.02 451.4 292.21
32 773.16 11.4 6.79 0.42 1 0 7.79 0.42 8.42 0 0 0.0 8.42 3.86 16.21 3.97 424 162.66
48 767.3 12.47 8.95 0.22 2 0 10.95 0.22 8.1 0 0 0.0 8.1 5.43 19.05 5.42 424.4 216.59
64 773.3 12.05 12.15 0.37 3 0 15.15 0.37 8.35 0 0 0.0 8.35 6.07 23.5 6.07 453 246.7
96 770.4 12.38 17.5 0.51 5 0 22.5 0.51 9.6 0 0 0.0 9.6 5.89 32.1 5.67 489.9 253.8
128 769.75 12.38 24 0.0 6.3 0 30.3 0.47 5.6 0 0 0.0 5.6 3.97 35.9 3.97 318.75 199.45
