#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,4) - 16bit klic:
#SR(1,2,2,4)
8 4.2 0.42 1 0.0 0 0 1 0.0 0 0 0 0.0 0 0.0 1 0.0 33 0.0
12 2.8 0.42 1 0.0 0 0 1 0.0 0 0 0 0.0 0 0.0 1 0.0 33 0.0
16 2.7 0.48 1 0.0 0 0 1 0.0 0 0 0 0.0 0 0.0 1 0.0 33 0.0
32 2 0.0 3 0.0 0 0 3 0.0 0 0 0.4 0.7 0.4 0.7 3.4 0.7 33 0.0
48 1.6 0.52 4 0.0 0 0 4 0.0 0 0 1.9 2.92 1.9 2.92 5.9 2.92 33 0.0
64 1.2 0.42 5.7 0.48 0 0 5.7 0.48 0 0 14.7 18.81 14.7 18.81 20.4 18.79 33 0.0
96 1.3 0.48 8 0.0 0 0 8 0.0 0 0 19.4 20.79 19.4 20.79 27.4 20.79 33 0.0
128 1 0.0 11.8 0.42 0 0 11.8 0.42 0 0 38.4 23.64 38.4 23.64 50.2 23.71 33 0.0
256 1 0.0 23 0.0 2.2 0 25.2 0.42 0 0 52.5 32.8 52.5 32.8 77.7 32.77 33 0.0
384 1 0.0 34.2 0.42 4.6 0 38.8 1.03 0 0 45.8 20.13 45.8 20.13 84.6 19.82 33 0.0
512 1 0.0 46.8 0.42 9.1 0 55.9 1.2 0 0 59.8 27.25 59.8 27.25 115.7 26.68 33 0.0
