#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,4,4,4) - 64bit klic:
#SR(1,4,4,4)
2 41.3 0.47 3.4 0.5 0 0 3.4 0.5 704.75 0 0.1 0.45 704.85 1244.78 708.25 1244.76 6039.8 5292.39
4 41.55 0.51 4.1 0.31 0 0 4.1 0.31 1249.8 0 0 0.0 1249.8 1697.35 1253.9 1697.41 11245.4 12591.33
8 41.35 0.49 5.05 0.22 0 0 5.05 0.22 345 0 0 0.0 345 422.19 350.05 422.19 5273.15 4479.99
12 41.65 0.49 6 0.0 0 0 6 0.0 444.9 0 0 0.0 444.9 692.9 450.9 692.9 5622.5 5188.04
16 41.4 0.5 7 0.0 0 0 7 0.0 547.9 0 0 0.0 547.9 616.4 554.9 616.4 8559.45 9784.61
32 41.35 0.59 15 0.0 0 0 15 0.0 604.3 0 0 0.0 604.3 595.25 619.3 595.25 8170 6683.27
48 41.4 0.5 19 0.0 0 0 19 0.0 1013.3 0 0.5 2.24 1013.8 2788.43 1032.8 2788.43 9579.9 14194.34
64 41.25 0.44 26 0.0 0 0 26 0.0 416.2 0 0 0.0 416.2 683.64 442.2 683.64 5013.9 5794.56
96 41.3 0.47 39 0.0 0 0 39 0.0 925.2 0 0 0.0 925.2 1096.37 964.2 1096.37 12655.35 12160.98
128 41.5 0.51 54.75 0.44 0 0 54.75 0.44 720.7 0 0 0.0 720.7 1094.8 775.45 1094.9 8218.9 10010.74
256 41.35 0.49 107.65 0.67 0 0 107.65 0.67 428.15 0 1 0.0 429.15 519.24 536.8 519.13 6277 7717.09
