#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,4,4) - 32bit klic:
#SR(1,2,4,4)
2 26.55 0.6 1 0.0 0 0 1 0.0 0 0 0 0.0 0 0.0 1 0.0 33 0.0
4 26.55 0.51 2 0.0 0 0 2 0.0 0 0 0 0.0 0 0.0 2 0.0 33 0.0
8 26.5 0.51 2 0.0 0 0 2 0.0 0 0 0 0.0 0 0.0 2 0.0 33 0.0
12 26.6 0.6 3 0.0 0 0 3 0.0 0 0 0 0.0 0 0.0 3 0.0 33 0.0
16 26.7 0.47 4 0.0 0 0 4 0.0 0 0 0 0.0 0 0.0 4 0.0 33 0.0
32 26.55 0.51 8 0.0 0 0 8 0.0 0 0 0 0.0 0 0.0 8 0.0 33 0.0
48 26.65 0.49 11 0.0 0 0 11 0.0 0 0 0 0.0 0 0.0 11 0.0 33 0.0
64 26.7 0.47 14.95 0.22 0 0 14.95 0.22 0 0 0 0.0 0 0.0 14.95 0.22 33 0.0
96 26.45 0.51 21.95 0.22 0 0 21.95 0.22 0 0 0 0.0 0 0.0 21.95 0.22 33 0.0
128 26.75 0.44 29.65 0.49 0 0 29.65 0.49 0 0 0 0.0 0 0.0 29.65 0.49 33 0.0
256 26.55 0.51 58.65 0.49 0 0 58.65 0.49 0 0 0 0.0 0 0.0 58.65 0.49 33 0.0
384 26.6 0.5 86.35 2.5 0 0 86.35 2.5 0 0 1 0.0 1 0.0 87.35 2.5 33 0.0
