#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,8) - 32bit klic:
#SR(1,2,2,8)
4 222.71 9.52 8 0.0 0 0 8 0.0 0 0 0 0.0 0 0.0 8 0.0 81 127.0
8 183.3 9.01 9 0.0 0 0 9 0.0 0 0 0 0.0 0 0.0 9 0.0 140.5 272.23
12 159.3 11.87 10 0.0 0 0 10 0.0 0 0 0 0.0 0 0.0 10 0.0 46.5 23.52
16 149.1 16.66 10.4 0.52 0 0 10.4 0.52 0 0 0 0.0 0 0.0 10.4 0.52 227.4 591.58
32 109.4 9.35 21.8 0.42 1.5 0 23.3 0.67 0 0 0.1 0.32 0.1 0.32 23.4 0.84 33 0.0
48 96.6 5.99 25.8 0.42 3.2 0 29 0.47 0 0 0 0.0 0 0.0 29 0.47 33 0.0
64 91.2 6.0 35.9 0.32 5.5 0 41.4 0.52 0 0 0 0.0 0 0.0 41.4 0.52 33 0.0
96 78.8 5.63 51.9 0.57 11.7 0 63.6 0.84 0.9 0 0 0.0 0.9 2.85 64.5 3.1 66.6 106.25
128 74.2 6.05 72.2 0.42 19.7 0 91.9 1.45 0.9 0 0.4 1.26 1.3 4.11 93.2 4.71 65 101.19
