#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,4,4) - 32bit klic:
#SR(2,2,4,4)
2 6688.75 27.09 3 0.0 0 0 3 0.0 0 0 0 0 0 0 3 0.0 0 0
4 6695.55 21.77 4 0.0 0 0 4 0.0 0 0 0 0 0 0 4 0.0 0 0
8 6693.5 18.11 5 0.0 0 0 5 0.0 0 0 0 0 0 0 5 0.0 0 0
12 6705.15 16.37 6.1 0.31 0 0 6.1 0.31 0 0 0 0 0 0 6.1 0.31 0 0
16 6694.4 13.77 7.95 0.22 0 0 7.95 0.22 0 0 0 0 0 0 7.95 0.22 0 0
32 6694.75 10.92 15.2 0.7 0 0 15.2 0.7 0 0 0 0 0 0 15.2 0.7 0 0
48 6696 5.93 21.1 0.31 0 0 21.1 0.31 0 0 0 0 0 0 21.1 0.31 0 0
64 6695 7.3 28.6 0.6 0 0 28.6 0.6 0 0 0 0 0 0 28.6 0.6 0 0
96 6695.1 4.46 44.05 2.86 0 0 44.05 2.86 0 0 0 0 0 0 44.05 2.86 0 0
128 6696.7 5.03 59.2 1.85 0 0 59.2 1.85 0 0 0 0 0 0 59.2 1.85 0 0
256 6696.55 5.84 122.25 7.95 0 0 122.25 7.95 0 0 0 0 0 0 122.25 7.95 0 0
